"surr_key";"Date";"Avg Temp (F)";"Low Temp (F)";"High Temp (F)"
144;"8/18/2019";76.28;55.94;91.94
145;"8/19/2019";80.96;55.94;93.92
146;"8/20/2019";80.78;60.98;98.06
147;"8/21/2019";75.02;62.96;98.06
148;"8/22/2019";73.04;57.02;82.04
149;"8/23/2019";73.22;57.92;87.98
150;"8/24/2019";72.86;57.02;89.06
151;"8/25/2019";78.98;55.94;86.0
152;"8/26/2019";73.94;59.0;96.08
153;"8/27/2019";68.72;57.92;78.98
154;"8/28/2019";73.04;55.04;77.0
155;"8/29/2019";77.36;53.96;91.94
156;"8/30/2019";73.94;60.08;91.04
157;"8/31/2019";76.28;59.0;86.0
158;"9/1/2019";79.7;60.08;91.04
159;"9/2/2019";82.76;59.0;96.98
160;"9/3/2019";77.18;60.98;98.06
161;"9/4/2019";75.38;62.06;80.96
162;"9/5/2019";78.8;60.98;89.06
163;"9/6/2019";74.12;64.94;96.08
164;"9/7/2019";74.48;60.98;84.92
165;"9/8/2019";69.08;57.02;89.06
166;"9/9/2019";70.34;53.96;77.0
167;"9/10/2019";70.7;53.96;82.04
168;"9/11/2019";68.9;55.04;89.06
169;"9/12/2019";61.88;51.08;80.06
170;"9/13/2019";64.22;50.0;75.92
171;"9/14/2019";70.34;48.92;80.06
172;"9/15/2019";72.32;51.98;87.98
173;"9/16/2019";72.5;51.98;89.96
174;"9/17/2019";71.6;60.98;87.98
175;"9/18/2019";68.0;53.06;89.06
176;"9/19/2019";69.8;50.0;84.02
177;"9/20/2019";71.06;48.92;87.08
178;"9/21/2019";62.06;55.04;87.08
179;"9/22/2019";58.64;46.04;80.06
180;"9/23/2019";62.6;44.06;75.92
181;"9/24/2019";67.1;44.96;80.96
182;"9/25/2019";65.48;46.94;86.0
183;"9/26/2019";67.46;46.04;82.04
184;"9/27/2019";65.12;44.96;87.08
185;"9/28/2019";59.54;46.94;80.96
186;"9/29/2019";66.74;48.02;78.08
